timestamp,vibration_x,vibration_y,vibration_z,rms_value,bearing_temp,motor_temp,ambient_temp,runtime_hours,rpm,load_percent,degradation_level,fault_type
2026-08-30 14:16:28,3.9143,2.0727,2.8243,2.1527,57.2016,58.1493,22.0234,1200.0,1515.693,91.7101,0.0235,0
2026-08-30 14:16:29,3.1617,3.2849,2.8252,4.2995,72.89,60.6909,26.9538,1200.0003,1480.8213,65.4488,0.0391,0
2026-08-30 14:16:30,1.9911,3.1956,1.0309,2.3802,58.2529,68.2686,26.7122,1200.0006,1451.2145,83.4793,0.031,0
2026-08-30 14:16:31,4.4307,3.273,2.8346,2.9389,71.8296,57.5895,22.6736,1200.0008,1457.6677,66.1525,0.0613,0
2026-08-30 14:16:32,2.5917,3.5487,2.4328,3.5635,72.0709,66.8237,24.8942,1200.0011,1463.9328,65.0872,0.0233,0
2026-08-30 14:16:33,5.0745,3.2375,3.4204,3.7444,59.4109,59.9105,26.302,1200.0014,1504.1001,86.098,0.0588,0
2026-08-30 14:16:34,2.1421,4.0562,0.8722,4.026,61.5195,66.9477,26.7305,1200.0017,1491.1273,90.331,0.071,0
2026-08-30 14:16:35,4.8355,3.194,1.862,4.0606,50.454,84.4268,24.9846,1200.002,1455.5052,63.6097,0.0401,0
2026-08-30 14:16:36,3.137,2.1943,3.281,3.8812,67.0944,67.5678,25.7846,1200.0022,1451.9565,72.3421,0.0518,0
2026-08-30 14:16:37,1.8947,2.9454,2.8432,3.275,48.0968,57.895,26.8932,1200.0025,1458.0997,93.516,0.0677,0
2026-08-30 14:16:38,4.9484,3.5709,2.5723,3.7783,60.787,70.5902,25.9598,1200.0028,1470.3943,74.5226,0.0922,0
2026-08-30 14:16:39,3.1002,3.2656,1.7177,3.5569,61.3514,70.2043,26.8158,1200.0031,1494.9619,94.3975,0.0614,0
2026-08-30 14:16:40,4.6337,3.3318,2.2806,3.5625,58.7041,77.3792,26.945,1200.0034,1465.1487,85.5695,0.077,0
2026-08-30 14:16:41,4.5051,3.135,1.5731,3.0738,70.0779,60.9416,23.1595,1200.0036,1492.0625,75.0723,0.0895,0
2026-08-30 14:16:42,3.0502,3.4457,3.4303,4.0442,49.1134,62.9164,26.5478,1200.0039,1493.5151,89.677,0.0815,0
2026-08-30 14:16:43,2.5959,4.2915,3.534,3.7109,48.5823,69.2394,25.0072,1200.0042,1479.1724,81.535,0.1121,0
2026-08-30 14:16:44,3.6499,2.519,3.0627,4.3726,61.2457,69.2046,24.6259,1200.0045,1491.4945,75.1922,0.1077,0
2026-08-30 14:16:45,4.1589,2.7208,2.2965,4.4389,56.8319,55.8221,27.2031,1200.0048,1457.2803,79.722,0.0979,0
2026-08-30 14:16:46,4.5187,2.7764,2.8479,4.1745,75.7052,72.1022,23.1502,1200.005,1473.7217,70.6591,0.1195,0
2026-08-30 14:16:47,4.871,3.8777,3.4917,3.4307,61.9098,78.562,24.6002,1200.0053,1505.4879,74.8734,0.1355,0
2026-08-30 14:16:48,4.0405,1.4431,2.8188,3.6831,58.2991,59.4409,25.4545,1200.0056,1500.7909,64.5882,0.1308,0
2026-08-30 14:16:49,3.6281,3.5215,2.3791,3.3916,61.2097,75.366,25.8918,1200.0059,1470.0722,75.3259,0.1135,0
2026-08-30 14:16:50,2.8111,2.4726,1.3222,3.0153,68.1556,56.689,27.9408,1200.0062,1483.97,89.9473,0.1066,0
2026-08-30 14:16:51,2.3514,1.4945,3.2587,2.765,68.4776,82.0222,22.0866,1200.0064,1497.5969,69.135,0.1172,0
2026-08-30 14:16:52,2.0213,2.1884,2.6383,4.3957,54.6395,68.8551,25.4892,1200.0067,1492.2272,67.3495,0.1447,0
2026-08-30 14:16:53,4.2526,3.3453,2.8673,2.3409,46.7372,72.8494,25.3012,1200.007,1485.8775,78.2393,0.132,0
2026-08-30 14:16:54,4.9699,3.4134,3.4622,4.6894,50.7323,65.9334,26.3243,1200.0073,1464.6355,92.1065,0.1465,0
2026-08-30 14:16:55,3.2512,1.8942,1.8285,4.0083,75.1103,64.9088,23.1792,1200.0076,1483.0286,86.4654,0.1412,0
2026-08-30 14:16:56,4.9652,1.5991,2.574,4.4232,51.8141,80.6056,26.3467,1200.0078,1476.7466,74.849,0.1467,0
2026-08-30 14:16:57,3.1216,2.1365,1.3977,2.6498,71.5868,56.3876,22.3822,1200.0081,1468.8848,78.817,0.1785,0
2026-08-30 14:16:58,3.0183,1.9059,2.5945,3.5473,69.3114,79.1504,23.7686,1200.0084,1455.4837,65.6767,0.1864,0
2026-08-30 14:16:59,2.5771,3.8173,1.1421,3.4956,66.5052,67.024,26.847,1200.0087,1517.9146,77.2506,0.1848,0
2026-08-30 14:17:00,3.3721,1.4811,2.0439,3.9735,58.1348,75.4099,25.9268,1200.009,1453.8062,71.0491,0.1832,0
2026-08-30 14:17:01,3.1234,2.6878,1.0336,2.3669,71.2865,57.3436,24.2448,1200.0092,1502.2134,71.7187,0.1872,0
2026-08-30 14:17:02,2.8323,4.4792,1.5531,3.0148,49.0035,67.1598,26.0265,1200.0095,1488.1065,85.0124,0.1691,0
2026-08-30 14:17:03,3.8296,1.9008,2.8299,3.7693,64.3939,71.8951,26.1227,1200.0098,1458.5643,78.9697,0.1697,0
2026-08-30 14:17:04,5.0281,4.3369,1.6263,4.0113,54.3144,61.2007,26.7285,1200.0101,1476.9689,72.1217,0.1817,0
2026-08-30 14:17:05,3.4004,3.0048,3.2412,4.0343,52.1335,80.1348,27.7673,1200.0104,1500.2967,66.4457,0.1903,0
2026-08-30 14:17:06,5.182,1.6219,1.9321,2.8982,56.1143,63.4061,25.7429,1200.0106,1485.6535,90.7865,0.2176,0
2026-08-30 14:17:07,3.5915,3.2467,1.1684,3.6002,61.5692,79.9815,23.0253,1200.0109,1487.6081,72.4415,0.2065,0
2026-08-30 14:17:08,2.6858,3.4463,2.5893,2.4033,59.6539,82.8183,27.1593,1200.0112,1498.4301,65.8983,0.2421,0
2026-08-30 14:17:09,2.8117,1.8307,1.5392,3.4533,62.9102,58.4798,26.5525,1200.0115,1494.6988,61.5402,0.212,0
2026-08-30 14:17:10,2.9342,2.6733,1.8209,3.5228,66.6838,78.999,22.5735,1200.0118,1454.4339,85.2835,0.2248,0
2026-08-30 14:17:11,3.1451,4.1208,2.6935,2.5834,65.6871,69.3606,26.6352,1200.0121,1469.8482,86.6369,0.2163,0
2026-08-30 14:17:12,3.8123,2.694,1.2141,3.0798,72.3686,78.1987,24.045,1200.0123,1470.8595,62.1195,0.2319,0
2026-08-30 14:17:13,4.8747,4.627,2.1614,3.301,54.4916,73.8402,25.5191,1200.0126,1518.6341,80.5635,0.2564,0
2026-08-30 14:17:14,2.4896,4.5762,2.9069,2.4634,66.3182,62.4185,27.1665,1200.0129,1513.0498,78.4288,0.2371,0
2026-08-30 14:17:15,4.9857,2.7738,3.2286,2.5551,73.6302,83.7728,26.3932,1200.0132,1455.7066,65.8006,0.2637,0
2026-08-30 14:17:16,4.8359,2.7494,3.0787,3.7391,68.2246,83.6858,26.6492,1200.0135,1513.104,93.2578,0.2521,0
2026-08-30 14:17:17,5.2963,3.046,2.8422,4.7738,58.9371,56.8636,25.2154,1200.0137,1499.214,62.2925,0.2481,0
